term,slide,chapter,context,flagged,review_reason,subject,year,term_period,unit,validation_status,vocab_confidence,vocab_match_type
Yemen,21,4. An African empire: Aksum,"Along with sacks of wheat and barley, these goods will be loaded onto ships heading across the Red Sea to Arabia. The fine perfumes will be sold in the perfume markets of the Yemen (yeh-men). (Can you find Yemen on the map on Page 19?) Ivory and gold will reach places even further away. They might reach Egypt and the great cities of the Mediterranean such as Rome. They might reach Syria, Persia, India and the shores of the Arabian Sea.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
mints,21,4. An African empire: Aksum,"Now imagine looking into the hands of the merchants, shipowners and sailors.  What are they holding? What are they giving to each other? They are holding coins. The king of Aksum mints bronze, silver and gold coins, just like the great trading empires of Persia, China and Rome.  These coins are accepted by traders from thousands of miles away.  All the merchants are familiar with these coins. The rulers of Aksum were among the first in the world to mint their own coins.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
state,23,4. An African empire: Aksum,"The bustling ports, rich trade and early coins are not the only remarkable things about Aksum. Aksum was also the first Christian state in the world.  This means that Aksum was the first place to have a ruler who made Christianity an official religion.  You already know that the Emperor Constantine did this, in the early fourth century, in the Roman Empire.  A similar thing happened at the same time in Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ethiopia,23,4. An African empire: Aksum,"Aksum later became known as Ethiopia. Today, the Christians of Ethiopia keep these Christian traditions. Ethiopian Christians preserve and enjoy the buildings, art and traditions begun by the first Christians in Aksum.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
perilous,25,5. A high and holy place,"Here they are on the other side of the rock. They have just a little further to go, until they reach a small door in the side of the rock. In order to reach that door, they must walk along a ledge, just 50 centimetres wide. To their left, lies a perilous drop of 200 metres. Can you find them? Can you find the door?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
hewn,26,5. A high and holy place,"Once inside the church, we understand why so many Christian worshippers and visitors brave the dizzy climb. Here is a church that has not been built at all.   It has been hewn out of solid rock.",YES,short_term,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
saints,27,5. A high and holy place,"Inside, we find pictures telling Christian stories. Find Mary and Jesus on the pillar. On the ceiling are nine saints who are important to Ethiopian Christians.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
sacred,28,5. A high and holy place,"Twenty priests look after this church. Here is a precious, ancient bible that the priests keep in the church. Many parents bring their babies to be baptised here because they consider this church to be very holy.   For Christians it is a sacred place.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
rock-hewn,28,5. A high and holy place,"If you go to Ethiopia today, you will find hundreds of rock-hewn churches.  On the next page, you can see a wonderful view from the inside of another one.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
shipwreck,30,6. How Aksum became a Christian state,"Early in the fourth century, a merchant from Syria was on his way back from trading in India. He had two boys with him. One day, a terrible storm blew up. In the rough waters, the ship was wrecked.  Many drowned.  The Syrian merchant died in the shipwreck. Somehow, the two boys survived.  When they reached the shores of Aksum, they were captured and taken to the court of the king.  The king made sure the two boys were looked after and gave them work. One of the boys had the name Frumentius (froo-men-tee-uss).",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana,30,6. How Aksum became a Christian state,"Now at this time, the king had a young son, called Ezana (ezz-ar-nah). Ezana loved to listen to stories that the boys told. When the king died, the queen (Ezana’s mother) ruled the kingdom until Ezana was old enough to take on a king’s duties.  Ezana’s mother found the two boys clever and useful.  Frumentius even became the young Ezana’s tutor. Ezana clearly took in all the Christian stories he was hearing. By the time Ezana was old enough to take over as king, he had converted to Christianity.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
bishop,31,6. How Aksum became a Christian state,"Once he became king, Ezana decided that Aksum should have its own bishop to lead all the Aksum Christians. So Ezana sent Frumentius north to Alexandria in Egypt, to meet the patriarch (pay-tree-arc), who was the leader of other Christians in Africa. Ezana wanted the patriarch to send the people of Aksum a bishop. But who did the patriarch choose as Aksum’s first bishop?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
patriarch,31,6. How Aksum became a Christian state,"Once he became king, Ezana decided that Aksum should have its own bishop to lead all the Aksum Christians. So Ezana sent Frumentius north to Alexandria in Egypt, to meet the patriarch (pay-tree-arc), who was the leader of other Christians in Africa. Ezana wanted the patriarch to send the people of Aksum a bishop. But who did the patriarch choose as Aksum’s first bishop?",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana,31,6. How Aksum became a Christian state,The Ezana stone,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
stone,31,6. How Aksum became a Christian state,The Ezana stone,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
erected,31,6. How Aksum became a Christian state,"In about 330 CE, King Ezana led his army north and conquered more land. He erected this stone. It is known as the Ezana stone.  The inscription on the stone tells the story of Ezana’s conversion to Christianity and his conquests of new land.  Find the Ezana stone on the next page.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ezana’s,33,6. How Aksum became a Christian state,Ezana’s stela,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
stela,33,6. How Aksum became a Christian state,Ezana’s stela,YES,potential_heading,History,4,Spring2,Christianity in 3 empires,confirmed_with_flag,1.0,exact
stela,33,6. How Aksum became a Christian state,"This tall piece of stone is known as a stela (stella). In the kingdom of Aksum, rulers often erected these tall monuments. They celebrated the achievements of Aksum. Each stela is carved from a single piece of stone!",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Coins showing Christian symbols,34,6. How Aksum became a Christian state,Coins showing Christian symbols,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
The discovery of an early fourth-century church,35,6. How Aksum became a Christian state,The discovery of an early fourth-century church,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Professor,35,6. How Aksum became a Christian state,"This is Professor Woldekiros.  She is an archaeologist.  The professor and her team found this ancient building in between Adulis and the city of Aksum.  It is the remains of a Christian church, but it is shaped just like a Roman basilica!  One inscription reads, ‘Christ protect us’.  Professor Woldekiros says that this discovery gives us evidence that Christians were encouraged to build churches at the time of Ezana. It also shows that the Christians of Aksum had contact with Roman Christians.",NO,,History,4,Spring2,Christianity in 3 empires,confirmed,1.0,exact
Ethiopian Orthodox Church,36,6. How Aksum became a Christian state,The traditions of Ethiopian Christianity are kept alive today. The Church to which most Ethiopian Christians belong today is called the Ethiopian Orthodox Church. This man is in charge. He is the patriarch of the Ethiopian Orthodox Church.,NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Roman Catholic Church,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
Pope,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",YES,short_term,History,4,Spring2,Christianity in 3 empires,high_priority_review,0.0,none
Greek Orthodox Church,37,6. How Aksum became a Christian state,"In this booklet you have learned about religion in ancient empires. Empires never last!  But sometimes religions, and their traditions and beliefs, do last.   The Roman Empire fell in the fifth century. But many of the Christian traditions that grew up there became the Roman Catholic Church. The bishop of Rome became known as the Pope. The Byzantine Empire fell in the fifteenth century, but the church of Constantine and Justinian lasted. It is called the Greek Orthodox Church. The empire of Aksum fell in the ninth century, but the Ethiopian Orthodox Church continues to this day.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
epiphany,37,6. How Aksum became a Christian state,"This photograph shows Ethiopian Christians celebrating a special day called epiphany (ee-piff-a-nee).   During epiphany, Christians all over the world celebrate the three wise men’s visit to Jesus.",NO,,History,4,Spring2,Christianity in 3 empires,potential_noise,0.0,none
